424,180,2
980,447,2
895,613,2
557,838,2
803,483,2
292,413,2
60,248,2
779,594,2
404,440,2
185,131,2
350,148,2
139,319,2
467,33,2
148,445,2
377,940,2
38,420,2
24,898,2
999,363,2
478,898,2
997,110,2
632,99,2
279,527,2
625,106,2
964,533,2
5,222,2
496,565,2
849,528,2
107,539,2
903,444,2
182,25,2
270,14,1
866,385,2
137,490,2
234,16,1
336,865,2
791,700,2
583,425,2
375,815,2
150,939,2
851,539,2
125,195,1
96,458,2
786,4,2
725,347,2
151,5,2
257,640,2
926,874,2
527,319,2
753,987,2
900,608,2
747,638,2
726,667,2
311,806,2
556,176,2
118,39,2
416,491,1
301,71,2
825,901,2
515,670,2
75,85,2
221,334,2
693,632,1
422,640,2
403,96,2
114,976,2
1,637,2
491,790,2
727,775,2
117,278,2
65,587,1
53,238,2
178,876,2
621,133,2
257,560,1
514,203,2
342,507,2
308,117,2
921,498,2
445,894,2
326,998,2
878,409,2
223,145,2
564,206,2
44,572,2
460,661,2
532,807,2
312,463,2
687,626,2
860,306,2
935,561,2
572,278,2
410,50,1
335,595,2
706,532,2
215,430,2
32,942,2
464,361,2
565,322,2
56,651,2
569,17,2
253,346,2
783,194,2
919,853,2
454,121,2
418,755,2
95,757,1
356,536,2
204,117,2
719,739,2
671,106,2
553,519,1
154,353,2
24,558,2
640,58,1
690,919,2
378,629,2
780,370,1
630,496,2
123,387,2
436,529,2
86,116,2
0,124,2
3,584,2
267,99,2
111,397,2
61,792,2
595,916,1
393,613,2
126,437,2
941,311,2
704,189,2
39,856,2
487,495,2
376,771,2
18,193,2
83,316,2
385,289,2
93,683,2
678,787,2
8,299,2
908,143,2
773,448,2
966,786,2
842,420,2
266,842,2
178,654,2
599,716,2
534,221,2
185,761,2
45,640,2
991,965,2
320,171,2
130,493,2
241,444,2
571,593,2
187,510,2
35,509,2
473,47,2
600,687,1
226,712,2
807,134,2
387,616,1
773,18,2
720,904,2
907,994,2
114,96,2
160,571,2
802,241,2
188,966,2
482,79,2
160,954,1
610,404,2
473,447,1
232,645,2
659,569,2
292,566,2
131,795,2
604,461,2
355,450,2
418,724,2
742,613,2
403,192,2
524,52,1
592,378,2
178,382,1
144,825,2
802,140,2
464,676,2
255,753,2
88,437,2
848,987,2
810,598,2
881,246,2
